INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (1,243,24,5895.89,'09:1:00',1);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (2,392,398,226.13,'07:20:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (3,327,42,10527.38,'21:21:00',3);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (4,388,72,18244.07,'12:21:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (5,25,140,3697.41,'04:17:00',4);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (6,444,351,3651.7,'17:2:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (7,376,367,326.63,'06:22:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (8,380,14,12040.18,'07:46:00',2);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (9,18,234,5831.3,'12:4:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (10,292,277,523.33,'03:57:00',2);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (11,426,448,863.52,'20:45:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (12,145,286,7549.19,'01:46:00',1);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (13,151,536,10643.37,'15:49:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (14,432,94,15980.03,'16:55:00',4);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (15,324,300,773.34,'21:49:00',4);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (16,449,86,20303.12,'06:35:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (17,344,99,11606.8,'15:27:00',1);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (18,75,382,13231.81,'19:20:00',1);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (19,116,321,9678.81,'01:49:00',3);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (20,333,320,332.13,'19:6:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (21,215,197,585.34,'13:3:00',2);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (22,222,201,645.14,'10:39:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (23,495,273,13132.45,'06:13:00',4);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (24,95,100,116.43,'11:52:00',3);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (25,82,139,2146.26,'02:45:00',3);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (26,408,184,9217.19,'11:42:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (27,254,534,13567.47,'17:50:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (28,198,399,6352.78,'06:54:00',1);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (29,498,396,3029.94,'20:19:00',4);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (30,546,251,14745.94,'18:11:00',1);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (31,24,35,647.63,'16:47:00',3);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (32,505,540,1165.77,'23:57:00',6);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (33,26,526,25977.37,'20:21:00',3);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (34,226,344,4420.14,'23:43:00',5);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (35,393,463,3855.92,'07:58:00',2);
INSERT INTO info (info_id, polaziste, odrediste, cijena, trajanje, vlak_id) VALUES (36,128,520,16331.03,'19:20:00',6);
